SampleID,sample_name,nearest_ci,dist_m,onekm_rad_ci,fivekm_rad_ci,lat,lon,date,location,modis_ci_image_name,onekm_less50cloudCover,fivekm_less50cloudCover
samp_707,LRAUV18_SC03,,,,,41.6674,-83.1071,9/2/18,MODIS_processed_tiff/2018/image/,terra.2018245.0902.1602_1605_1740C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,,
samp_1315,LRAUV19_SC57,,,,,41.7406,-83.3054,8/16/19,MODIS_processed_tiff/2019/image/,terra.2019228.0816.1625_1803_1805C.L3.GL1.v930seadasv7521_1_2.CI_merge-E.tif,,
samp_9437,SHARC23_SC35,,,,,41.6917,-83.3028,2023-08-11T12:10,MODIS_processed_tiff/2023/image/,sentinel-3.2023223.0811.1506_1544C.ab.L3.LE3.v951T202211_1_3.CI-CIcyano_E.tif,,
samp_9449,SHARC23_SC11,,,,,41.8346,-83.3566,2023-08-16T06:19,MODIS_processed_tiff/2023/image/,sentinel-3.2023228.0816.1515_1616C.ab.L3.LE3.v951T202211_1_3.CI-CIcyano_E.tif,,
