sample,SampleID,BioSampleID,StudyID,sample_type,collection_date,lat,lon,SRA accession,NCBI Biosample,GOLD_analysis_projectID,GOLD_sequencing_projectID,sequencing_type,amplicon_target,F_primer,R_primer,id_fixed,sample_input_complete,SampleName,ProjectID,Biosample,JGI_study,JGI_biosample,geo_loc_name,GAZ_id,NOAA_Site,env_canada_site,env_Kenya_site,env_broad_scale,env_local_scale,env_medium,keywords,depth,depth_sediment,depth_at_sampling_location,size_frac_low,size_frac_up,pH,temp,sulfate,sulfide,calcium,potassium,magnesium,silicate,diss_oxygen,conduc,secchi,turbidity,part_microcyst,diss_microcyst,ext_phyco,ext_microcyst,ext_Anatox,chlorophyll,Phosphate,tot_phos,diss_phosp,soluble_react_phosp,ammonium,ammonia,nitrate,Nitrate_Nitrite,nitrite,urea,tot_nit,part_org_nitro,part_org_carb,diss_org_carb,Col_DOM,H2O2,suspend_part_matter,suspend_vol_solid,microcystis_count,planktothrix_count,anabaena_D_count,cylindrospermopsis_count,ice_cover,chlorophyll_fluoresence,samp_collect_device,modified_or_experimental,is_isolate,is_blank_neg_control,is_mock_community_or_pos_control,samp_vol_we_dna_ext,filtration_duration,qPCR_total,qPCR_mcyE,qPCR_sxtA,green_algae,bluegreen,diatoms,crypto,tot_microcyst_lcmsms,attenuation,transmission,par,sky,wave_height,wind_speed,atmospheric_temp,barometric_press,sortchem,phyco_fluoresence,salinity,particulate_cyl,orp,replicate_id,cyano_sonde,total_sonde,amended_site_name,station_description,host,host_disease,bco_dmo_dataset,Notes,date,date_same_year,year,Accession_Number,description,coassembly_samples,notes
samp_2116,samp_2116,bios_2116,set_41,metagenome,2019-07-29T11:24:00Z,41.7028,-83.2563,SRR31514804,SAMN45060199,NA,NA,NA,NA,NA,NA,TRUE,NA,7-29-19 WLE 12,PRJNA1190886,SAMN45060199,NA,NA,Lake Erie,GAZ:00003932,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,6.95,NA,3,NA,25.5,NA,NA,NA,NA,NA,NA,7.2,279.5,0.75,12.7,10.98,0.05,44.69,NA,NA,49.63,NA,39.13,4.87,6.02,NA,2.33,NA,0.287,NA,NA,NA,0.59,3.24,NA,1.2,NA,12.35,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,23.8,214.11,sunny,1.26,14.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-76,2019-07-29T11:24:00Z,2000-07-29T11:24:00Z,2019,NA,NA,NA,NA
samp_2117,samp_2117,bios_2117,set_41,metagenome,2019-08-19T12:57:00Z,41.7621,-83.3303,SRR31514803,SAMN45060200,NA,NA,NA,NA,NA,NA,TRUE,NA,8-19-19 WLE 2,PRJNA1190886,SAMN45060200,NA,NA,Lake Erie,GAZ:00003932,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,6.38,NA,3,NA,25.0,NA,NA,NA,NA,NA,NA,8.9,240.5,0.5,18.7,7.02,0.87,NA,NA,NA,68.01,NA,47.91,4.79,4.53,NA,5.44,NA,0.002,NA,NA,NA,0.78,5.22,NA,2.06,NA,14.7,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,25,552.77,sunny,0.19,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-77,2019-08-19T12:57:00Z,2000-08-19T12:57:00Z,2019,NA,NA,NA,NA
samp_2118,samp_2118,bios_2118,set_41,metagenome,2019-08-19T09:04:00Z,41.827,-83.1974,SRR31514802,SAMN45060201,NA,NA,NA,NA,NA,NA,TRUE,NA,8-19-19 WLE 4,PRJNA1190886,SAMN45060201,NA,NA,Lake Erie,GAZ:00003932,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,8.71,NA,3,NA,24.5,NA,NA,NA,NA,NA,NA,6,239.1,2.5,3.73,0.66,0.21,NA,NA,NA,13.36,NA,12.97,1.25,1.53,NA,15.58,NA,0.157,NA,NA,NA,0.21,1.49,NA,0.32,NA,3.7,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,64.2,223.81,cloudy,0.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-78,2019-08-19T09:04:00Z,2000-08-19T09:04:00Z,2019,NA,NA,NA,NA
samp_2119,samp_2119,bios_2119,set_41,metagenome,2019-08-19T08:15:00Z,41.8336,-83.3598,SRR31514801,SAMN45060202,NA,NA,NA,NA,NA,NA,TRUE,NA,8-19-19 WLE 8,PRJNA1190886,SAMN45060202,NA,NA,Lake Erie,GAZ:00003932,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.48,NA,3,NA,24.5,NA,NA,NA,NA,NA,NA,5.9,254.8,0.75,16.7,7.79,0.59,NA,NA,NA,59.87,NA,59.12,6.07,3.65,NA,5.44,NA,0.006,NA,NA,NA,0.66,4.87,NA,1.61,NA,15.2,13.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,21.9,34.49,cloudy,0.32,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-79,2019-08-19T08:15:00Z,2000-08-19T08:15:00Z,2019,NA,NA,NA,NA
samp_2120,samp_2120,bios_2120,set_41,metagenome,2019-08-19T10:55:00Z,41.7029,-83.2539,SRR31514799,SAMN45060203,NA,NA,NA,NA,NA,NA,TRUE,NA,8-19-19 WLE 12,PRJNA1190886,SAMN45060203,NA,NA,Lake Erie,GAZ:00003932,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,7.15,NA,3,NA,24.5,NA,NA,NA,NA,NA,NA,7.5,242.2,0.5,22.7,5.03,0.27,NA,NA,NA,72.35,NA,47.43,3.11,2.32,NA,4.95,NA,0.002,NA,NA,NA,0.57,4.01,NA,0.78,NA,16.5,9.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,18.9,127.17,cloudy,0.17,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-80,2019-08-19T10:55:00Z,2000-08-19T10:55:00Z,2019,NA,NA,NA,NA
samp_2121,samp_2121,bios_2121,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-81,NA,NA,NA,NA,NA,NA,NA
samp_2122,samp_2122,bios_2122,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-82,NA,NA,NA,NA,NA,NA,NA
samp_2123,samp_2123,bios_2123,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-83,NA,NA,NA,NA,NA,NA,NA
samp_2124,samp_2124,bios_2124,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,PC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-84,NA,NA,NA,NA,NA,NA,NA
samp_2125,samp_2125,bios_2125,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,PC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-85,NA,NA,NA,NA,NA,NA,NA
samp_2126,samp_2126,bios_2126,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,PC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-86,NA,NA,NA,NA,NA,NA,NA
samp_2127,samp_2127,bios_2127,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,PC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-87,NA,NA,NA,NA,NA,NA,NA
samp_2128,samp_2128,bios_2128,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,PC5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-88,NA,NA,NA,NA,NA,NA,NA
samp_2129,samp_2129,bios_2129,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-95,NA,NA,NA,NA,NA,NA,NA
samp_2130,samp_2130,bios_2130,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-96,NA,NA,NA,NA,NA,NA,NA
samp_2131,samp_2131,bios_2131,set_41,metagenome,2019-08-28T08:59:00Z,NA,NA,SRR31514797,SAMN45060204,NA,NA,NA,NA,NA,NA,TRUE,NA,8-28-19 WLE 2,PRJNA1190886,SAMN45060204,NA,NA,Lake Erie,GAZ:00003932,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,4.93,NA,3,NA,22.7,NA,NA,NA,NA,NA,NA,6.5,252.6,0.5,20.6,2.48,0.95,32.08,NA,NA,52.5,NA,59.71,7.3,1.86,NA,4.13,NA,0.004,NA,NA,NA,0.43,3.03,NA,1.22,NA,19.73,5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.66,sunny,2.61,15.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-97,2019-08-28T08:59:00Z,2000-08-28T08:59:00Z,2019,NA,NA,NA,NA
samp_2132,samp_2132,bios_2132,set_41,metagenome,2019-08-28T11:56:00Z,NA,NA,SRR31514796,SAMN45060205,NA,NA,NA,NA,NA,NA,TRUE,NA,8-28-19 WLE 4,PRJNA1190886,SAMN45060205,NA,NA,Lake Erie,GAZ:00003932,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,8.72,NA,3,NA,22.9,NA,NA,NA,NA,NA,NA,6.3,243.0,0.25,13.3,0.71,0.32,14.78,NA,NA,39.63,NA,44.42,3.76,4.19,NA,4.11,NA,0.016,NA,NA,NA,0.34,2.34,NA,0.95,NA,14.37,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.44,sunny,1.28,10.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-98,2019-08-28T11:56:00Z,2000-08-28T11:56:00Z,2019,NA,NA,NA,NA
samp_2133,samp_2133,bios_2133,set_41,metagenome,2019-08-28T12:20:00Z,NA,NA,SRR31514795,SAMN45060206,NA,NA,NA,NA,NA,NA,TRUE,NA,8-28-19 WLE 8,PRJNA1190886,SAMN45060206,NA,NA,Lake Erie,GAZ:00003932,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.31,NA,3,NA,22.1,NA,NA,NA,NA,NA,NA,5.6,293.0,0.25,23.6,0.59,0.57,25.78,NA,NA,54.02,NA,81.37,8.66,7.88,NA,24.25,NA,0.274,NA,NA,NA,0.61,3.53,NA,1.87,NA,26.53,7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14,sunny,1.18,9.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-99,2019-08-28T12:20:00Z,2000-08-28T12:20:00Z,2019,NA,NA,NA,NA
samp_2134,samp_2134,bios_2134,set_41,metagenome,2019-08-28T09:50:00Z,41.7424,-83.138,SRR31514773,SAMN45060207,NA,NA,NA,NA,NA,NA,TRUE,NA,8-28-19 WLE 12,PRJNA1190886,SAMN45060207,NA,NA,Lake Erie,GAZ:00003932,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,6.9,NA,3,NA,22.7,NA,NA,NA,NA,NA,NA,6.5,254.0,0.5,19,1.89,0.53,22.66,NA,NA,45.48,NA,55.69,6.15,8.48,NA,5.7,NA,0.002,NA,NA,NA,0.44,2.69,NA,1.18,NA,22.27,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.58,sunny,1.22,10.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-100,2019-08-28T09:50:00Z,2000-08-28T09:50:00Z,2019,NA,NA,NA,NA
samp_2135,samp_2135,bios_2135,set_41,metagenome,2019-09-03T12:55:00Z,41.7606,-83.3326,SRR31514762,SAMN45060208,NA,NA,NA,NA,NA,NA,TRUE,NA,9-3-19 WLE 2,PRJNA1190886,SAMN45060208,NA,NA,Lake Erie,GAZ:00003932,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.69,NA,3,NA,21.9,NA,NA,NA,NA,NA,NA,6.7,270.0,0.5,28.2,0.32,0.38,19.95,NA,NA,70.64,NA,84.6,6.64,3.43,NA,22.25,NA,0.008,NA,NA,NA,0.58,3.2,NA,1.7,NA,30,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.19,cloudy,1.6,17.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-101,2019-09-03T12:55:00Z,2000-09-03T12:55:00Z,2019,NA,NA,NA,NA
samp_2136,samp_2136,bios_2136,set_41,metagenome,2019-09-03T09:13:00Z,41.8258,-83.195,SRR31514653,SAMN45060209,NA,NA,NA,NA,NA,NA,TRUE,NA,9-3-19 WLE 4,PRJNA1190886,SAMN45060209,NA,NA,Lake Erie,GAZ:00003932,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,8.71,NA,3,NA,22.4,NA,NA,NA,NA,NA,NA,6.6,250.9,0.75,12.8,0.16,0.18,6.9,NA,NA,45.97,NA,54.78,5.91,2.82,NA,4.31,NA,0.011,NA,NA,NA,0.45,2.46,NA,1.03,NA,14.47,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.74,sunny,0.43,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-102,2019-09-03T09:13:00Z,2000-09-03T09:13:00Z,2019,NA,NA,NA,NA
samp_2137,samp_2137,bios_2137,set_41,metagenome,2019-09-03T08:13:00Z,41.8351,-83.3597,SRR31514642,SAMN45060210,NA,NA,NA,NA,NA,NA,TRUE,NA,9-3-19 WLE 8,PRJNA1190886,SAMN45060210,NA,NA,Lake Erie,GAZ:00003932,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.23,NA,3,NA,22.5,NA,NA,NA,NA,NA,NA,6.6,329.8,0.5,20.4,0.88,0.83,34.83,NA,NA,93.65,NA,84.03,8.01,5.21,NA,21.65,NA,0.445,NA,NA,NA,0.67,3.64,NA,2.03,NA,21.67,7.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.91,sunny,0.14,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-103,2019-09-03T08:13:00Z,2000-09-03T08:13:00Z,2019,NA,NA,NA,NA
samp_2138,samp_2138,bios_2138,set_41,metagenome,2019-09-03T11:09:00Z,41.7034,-83.2558,SRR31514729,SAMN45060211,NA,NA,NA,NA,NA,NA,TRUE,NA,9-3-19 WLE 12,PRJNA1190886,SAMN45060211,NA,NA,Lake Erie,GAZ:00003932,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,6.94,NA,3,NA,22.2,NA,NA,NA,NA,NA,NA,7,255.0,0.5,17.3,0.31,0.31,11.12,NA,NA,46.75,NA,57.56,5.76,1.28,NA,4.9,NA,0.014,NA,NA,NA,0.49,2.68,NA,1.08,NA,19.87,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.06,partly cloudy,0.66,12.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-104,2019-09-03T11:09:00Z,2000-09-03T11:09:00Z,2019,NA,NA,NA,NA
samp_2139,samp_2139,bios_2139,set_41,metagenome,2020-07-06T08:32:00Z,41.7634,-83.3307,SRR31514718,SAMN45060212,NA,NA,NA,NA,NA,NA,TRUE,NA,7-6-20 WLE 2,PRJNA1190886,SAMN45060212,NA,NA,Lake Erie,GAZ:00003932,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.95,NA,3,NA,26.4,NA,NA,NA,NA,NA,NA,6.75,311.6,2.7,2.7,0.19,0.23,2.23,NA,NA,3.83,NA,19.61,7.32,2.09,NA,75.69,NA,0.852,NA,NA,NA,0.04,0.44,NA,1.17,NA,2.58,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953,sunny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-105,2020-07-06T08:32:00Z,2000-07-06T08:32:00Z,2020,NA,NA,NA,NA
samp_2140,samp_2140,bios_2140,set_41,metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HABs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-106,NA,NA,NA,NA,NA,NA,NA
samp_2141,samp_2141,bios_2141,set_41,metagenome,2020-07-06T08:00:00Z,NA,NA,SRR31514681,SAMN45060213,NA,NA,NA,NA,NA,NA,TRUE,NA,7-6-20 WLE 8,PRJNA1190886,SAMN45060213,NA,NA,Lake Erie,GAZ:00003932,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.35,NA,3,NA,27.4,NA,NA,NA,NA,NA,NA,6.55,316.0,2.5,3.8,0.59,0.14,18.11,NA,NA,10.83,NA,28.7,9.87,3.61,NA,64.44,NA,0.907,NA,NA,NA,0.15,0.76,NA,1.25,NA,2.87,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.5,sunny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-107,2020-07-06T08:00:00Z,2000-07-06T08:00:00Z,2020,NA,NA,NA,NA
samp_2142,samp_2142,bios_2142,set_41,metagenome,2020-07-06T09:07:00Z,41.7035,-83.2552,SRR31514670,SAMN45060214,NA,NA,NA,NA,NA,NA,TRUE,NA,7-6-20 WLE 12,PRJNA1190886,SAMN45060214,NA,NA,Lake Erie,GAZ:00003932,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,7.01,NA,3,NA,26.4,NA,NA,NA,NA,NA,NA,6.52,279.0,4.0,1.45,0.1,0.13,0.66,NA,NA,1.86,NA,13.5,5.86,1.52,NA,40.49,NA,0.674,NA,NA,NA,0.04,0.26,NA,0.83,NA,1.78,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,sunny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-108,2020-07-06T09:07:00Z,2000-07-06T09:07:00Z,2020,NA,NA,NA,NA
