sample,SampleID,BioSampleID,StudyID,sample_type,collection_date,lat,lon,SRA accession,NCBI Biosample,GOLD_analysis_projectID,GOLD_sequencing_projectID,sequencing_type,amplicon_target,F_primer,R_primer,id_fixed,sample_input_complete,SampleName,ProjectID,Biosample,JGI_study,JGI_biosample,geo_loc_name,GAZ_id,NOAA_Site,env_canada_site,env_Kenya_site,env_broad_scale,env_local_scale,env_medium,keywords,depth,depth_sediment,depth_at_sampling_location,size_frac_low,size_frac_up,pH,temp,sulfate,sulfide,calcium,potassium,magnesium,silicate,diss_oxygen,conduc,secchi,turbidity,part_microcyst,diss_microcyst,ext_phyco,ext_microcyst,ext_Anatox,chlorophyll,Phosphate,tot_phos,diss_phosp,soluble_react_phosp,ammonium,ammonia,nitrate,Nitrate_Nitrite,nitrite,urea,tot_nit,part_org_nitro,part_org_carb,diss_org_carb,Col_DOM,H2O2,suspend_part_matter,suspend_vol_solid,microcystis_count,planktothrix_count,anabaena_D_count,cylindrospermopsis_count,ice_cover,chlorophyll_fluoresence,samp_collect_device,modified_or_experimental,is_isolate,is_blank_neg_control,is_mock_community_or_pos_control,samp_vol_we_dna_ext,filtration_duration,qPCR_total,qPCR_mcyE,qPCR_sxtA,green_algae,bluegreen,diatoms,crypto,tot_microcyst_lcmsms,attenuation,transmission,par,sky,wave_height,wind_speed,atmospheric_temp,barometric_press,sortchem,phyco_fluoresence,salinity,particulate_cyl,orp,replicate_id,cyano_sonde,total_sonde,amended_site_name,station_description,host,host_disease,bco_dmo_dataset,Notes,date,date_same_year,year,Accession_Number,description,coassembly_samples,notes
samp_2106,samp_2106,bios_2106,set_41,metagenome,2019-07-08T09:16:00Z,41.8267,-83.1936,SRR31514671,SAMN45060189,NA,NA,NA,NA,NA,NA,TRUE,NA,7-8-19 WLE 4,PRJNA1190886,SAMN45060189,NA,NA,Lake Erie,GAZ:00003932,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,8.91,NA,3,NA,23.1,NA,NA,NA,NA,NA,NA,6.3,237.9,3.75,1.41,0.1,0.1,0.07,NA,NA,3.04,NA,16.68,1.68,0.88,NA,44.43,NA,0.339,NA,NA,NA,0.06,0.3,NA,0.31,NA,1.22,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65.7,1233.71,partly sunny,1.82,10.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-66,2019-07-08T09:16:00Z,2000-07-08T09:16:00Z,2019,NA,NA,NA,NA
samp_2107,samp_2107,bios_2107,set_41,metagenome,2019-07-08T08:26:00Z,41.8357,-83.359,SRR31514669,SAMN45060190,NA,NA,NA,NA,NA,NA,TRUE,NA,7-8-19 WLE 8,PRJNA1190886,SAMN45060190,NA,NA,Lake Erie,GAZ:00003932,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,4.99,NA,3,NA,25.5,NA,NA,NA,NA,NA,NA,6.3,326.9,1.25,8.39,0.12,0.1,2.51,NA,NA,11.18,NA,81.16,19.75,10.67,NA,105,NA,1.012,NA,NA,NA,0.14,0.69,NA,2.01,NA,7.92,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,49.8,332.19,partly cloudy,1.64,9.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-67,2019-07-08T08:26:00Z,2000-07-08T08:26:00Z,2019,NA,NA,NA,NA
samp_2108,samp_2108,bios_2108,set_41,metagenome,2019-07-08T11:31:00Z,41.7043,-83.2526,SRR31514668,SAMN45060191,NA,NA,NA,NA,NA,NA,TRUE,NA,7-8-19 WLE 12,PRJNA1190886,SAMN45060191,NA,NA,Lake Erie,GAZ:00003932,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,7.25,NA,3,NA,25.2,NA,NA,NA,NA,NA,NA,6.7,341.2,0.7,11.5,0.1,0.1,3.04,NA,NA,25.88,NA,106.01,20.69,8.56,NA,55.2,NA,1.542,NA,NA,NA,0.22,1.01,NA,2.92,NA,12.64,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,23.8,480.01,partly sunny,1.94,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-68,2019-07-08T11:31:00Z,2000-07-08T11:31:00Z,2019,NA,NA,NA,NA
samp_2109,samp_2109,bios_2109,set_41,metagenome,2019-07-22T13:20:00Z,41.763,-83.3289,SRR31514667,SAMN45060192,NA,NA,NA,NA,NA,NA,TRUE,NA,7-22-19 WLE 2,PRJNA1190886,SAMN45060192,NA,NA,Lake Erie,GAZ:00003932,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,6.1,NA,3,NA,26.7,NA,NA,NA,NA,NA,NA,7,331.0,0.5,23.1,10.88,0.1,220.74,NA,NA,143.23,NA,130.08,13.19,NA,NA,NA,NA,NA,NA,NA,NA,1.27,6.67,NA,2.01,NA,21.56,14.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,27.9,158.83,partly sunny,1.32,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-69,2019-07-22T13:20:00Z,2000-07-22T13:20:00Z,2019,NA,NA,NA,NA
samp_2110,samp_2110,bios_2110,set_41,metagenome,2019-07-22T09:23:00Z,41.8311,-83.195,SRR31514665,SAMN45060193,NA,NA,NA,NA,NA,NA,TRUE,NA,7-22-19 WLE 4,PRJNA1190886,SAMN45060193,NA,NA,Lake Erie,GAZ:00003932,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,8.93,NA,3,NA,25.8,NA,NA,NA,NA,NA,NA,6.1,270.9,1.5,4.33,1.7,0.1,54.54,NA,NA,18.4,NA,29.96,3.88,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1.51,NA,0.88,NA,3.92,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,63,750.79,partly cloudy,2.6,13.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-70,2019-07-22T09:23:00Z,2000-07-22T09:23:00Z,2019,NA,NA,NA,NA
samp_2111,samp_2111,bios_2111,set_41,metagenome,2019-07-22T08:32:00Z,41.8354,-83.3584,SRR31514664,SAMN45060194,NA,NA,NA,NA,NA,NA,TRUE,NA,7-22-19 WLE 8,PRJNA1190886,SAMN45060194,NA,NA,Lake Erie,GAZ:00003932,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.47,NA,3,NA,26.4,NA,NA,NA,NA,NA,NA,6.7,332.0,0.75,19.3,5.18,0.1,94.25,NA,NA,49.79,NA,54.98,12.27,NA,NA,NA,NA,NA,NA,NA,NA,0.34,2,NA,2.21,NA,13.76,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,28.7,94.41,partly cloudy,2.86,14.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-71,2019-07-22T08:32:00Z,2000-07-22T08:32:00Z,2019,NA,NA,NA,NA
samp_2112,samp_2112,bios_2112,set_41,metagenome,2019-07-22T11:26:00Z,41.706,-83.2518,SRR31514663,SAMN45060195,NA,NA,NA,NA,NA,NA,TRUE,NA,7-22-19 WLE 12,PRJNA1190886,SAMN45060195,NA,NA,Lake Erie,GAZ:00003932,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,7.35,NA,3,NA,26.1,NA,NA,NA,NA,NA,NA,5.9,262.2,0.75,13.3,0.67,0.1,7,NA,NA,13.98,NA,34.32,4.81,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1.19,NA,0.9,NA,14.96,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,19.5,355.59,partly sunny,1.93,9.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-72,2019-07-22T11:26:00Z,2000-07-22T11:26:00Z,2019,NA,NA,NA,NA
samp_2113,samp_2113,bios_2113,set_41,metagenome,2019-07-29T13:09:00Z,41.7602,-83.3336,SRR31514662,SAMN45060196,NA,NA,NA,NA,NA,NA,TRUE,NA,7-29-19 WLE 2,PRJNA1190886,SAMN45060196,NA,NA,Lake Erie,GAZ:00003932,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.57,NA,3,NA,25.8,NA,NA,NA,NA,NA,NA,6.5,352.5,0.5,24.3,8.94,0.25,215.85,NA,NA,154.05,NA,97.57,8.53,5.58,NA,3.07,NA,0.702,NA,NA,NA,1.26,6.56,NA,2.7,NA,24.12,16.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,19.2,153.07,partly cloudy,1.7,14.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-73,2019-07-29T13:09:00Z,2000-07-29T13:09:00Z,2019,NA,NA,NA,NA
samp_2114,samp_2114,bios_2114,set_41,metagenome,2019-07-29T09:10:00Z,41.8261,-83.1946,SRR31514711,SAMN45060197,NA,NA,NA,NA,NA,NA,TRUE,NA,7-29-19 WLE 4,PRJNA1190886,SAMN45060197,NA,NA,Lake Erie,GAZ:00003932,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,9.09,NA,3,NA,25.2,NA,NA,NA,NA,NA,NA,7.5,260.0,1.0,9.52,4.97,0.22,54.25,NA,NA,52.36,NA,32.92,3.06,6.13,NA,3.56,NA,0.211,NA,NA,NA,0.5,2.71,NA,0.85,NA,8.8,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,48.2,143.04,sunny,1.24,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-74,2019-07-29T09:10:00Z,2000-07-29T09:10:00Z,2019,NA,NA,NA,NA
samp_2115,samp_2115,bios_2115,set_41,metagenome,2019-07-29T08:23:00Z,41.8328,-83.3625,SRR31514710,SAMN45060198,NA,NA,NA,NA,NA,NA,TRUE,NA,7-29-19 WLE 8,PRJNA1190886,SAMN45060198,NA,NA,Lake Erie,GAZ:00003932,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,1.0,NA,5.23,NA,3,NA,25.4,NA,NA,NA,NA,NA,NA,6.8,273.4,1.0,9.3,4.82,0.11,65.65,NA,NA,42.9,NA,34.48,4.53,5.64,NA,5.35,NA,0.235,NA,NA,NA,0.45,2.67,NA,1.23,NA,9.48,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,45.3,96.54,sunny,0.89,11.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-75,2019-07-29T08:23:00Z,2000-07-29T08:23:00Z,2019,NA,NA,NA,NA
